input	output
Hello	Hello
Hi	Hi
How are you?	Fine
Hi there	Hi there
How are you doing?	Fine
How is the summer weather in Hyderabad?	Hot
How is the summer weather in delhi?	Very hot
How is the weather in chennai?	Humid
where is Tajmahal?	Agra
How is the icecream?	yummy
how is the biryani?	spicy
Where is charminar?	hyderabad
which language in telangana?	telugu
which language in andhra?	telugu
which language in tamilnadu?	tamil
which language in karnataka?	kannada
which language in kerala?	malayalam
which language in maharashtra?	marati
which language in orissa?	oriya
which language in bengal?	bengali
which language in punjab?	punjabi
which language in uttar pradesh?	hindi
which language in madhya pradesh?	hindi
which language in himachal pradesh?	hindi
which language in haryana?	hindi
which language in uttarakand?	hindi
which language in gujarat?	gujarati
Capital of Telangana?	Hyderabad
Capital of Andhra pradesh?	Amaravathi
Capital of Karnataka?	Bengaluru
Capital of Tamilnadu?	Chennai
Capital of kerala?	cochin
capital of maharashtra?	Mumbai
Capital of Uttar pradesh?	Laknow
Capital of bengal?	Kolkatta
Capital of haryana?	chandigarh
Capital of Gujarat?	Gandinagar
Capital of punjab?	chandigarh
capital of orissa?	buvaneshwar
capital of jammu?	jammu
Capital of rajastan?	jaipur
capital of nagaland?	nagaland
capital of assam?	dispur
capital of france?	paris
capital of finland?	helsinki
capital of srilanka?	colombo
capital of malaysia?	kaulalumpur
capital of USA?	washington
capital of germany?	berlin
capital of netharlands?	amsterdam
bye	bye
good bye	good bye
bye	good bye
hello	hi
hi	hello
how are you?	fine, how are you?
how are you doing?	I am good
how are you doing?	I am good, how are you doing?
good morning	good morning
good evening	good evening
good afternoon	good afternoon
capital of italy?	rome
capital of england?	london
capital of canada?	ottawa
capital of bangalesh?	dhaka
